flow,period,val,date,label,y2,to,pres
IMPORT,Jan. 2013,16.701074763,2013-01-01,NA,NA,2017-01-01,OBAMA
IMPORT,Feb. 2013,15.131745713,2013-02-01,NA,NA,NA,NA
IMPORT,Mar. 2013,16.789794798,2013-03-01,NA,NA,NA,NA
IMPORT,Apr. 2013,17.42023656,2013-04-01,NA,NA,NA,NA
IMPORT,May. 2013,17.487858815,2013-05-01,NA,NA,NA,NA
IMPORT,Jun. 2013,16.918389068,2013-06-01,NA,NA,NA,NA
IMPORT,Jul. 2013,16.672275991,2013-07-01,NA,NA,NA,NA
IMPORT,Aug. 2013,15.018282275,2013-08-01,NA,NA,NA,NA
IMPORT,Sep. 2013,16.324499629,2013-09-01,NA,NA,NA,NA
IMPORT,Oct. 2013,18.118304492,2013-10-01,NA,NA,NA,NA
IMPORT,Nov. 2013,17.484802972,2013-11-01,NA,NA,NA,NA
IMPORT,Dec. 2013,15.218417523,2013-12-01,NA,NA,NA,NA
IMPORT,Jan. 2014,16.315894236,2014-01-01,NA,NA,NA,NA
IMPORT,Feb. 2014,16.165619499,2014-02-01,NA,NA,NA,NA
IMPORT,Mar. 2014,16.594754337,2014-03-01,NA,NA,NA,NA
IMPORT,Apr. 2014,17.180153718,2014-04-01,NA,NA,NA,NA
IMPORT,May. 2014,16.90329325,2014-05-01,NA,NA,NA,NA
IMPORT,Jun. 2014,18.319817883,2014-06-01,NA,NA,NA,NA
IMPORT,Jul. 2014,17.827957756,2014-07-01,NA,NA,NA,NA
IMPORT,Aug. 2014,17.199995869,2014-08-01,NA,NA,NA,NA
IMPORT,Sep. 2014,18.038180811,2014-09-01,NA,NA,NA,NA
IMPORT,Oct. 2014,19.588934509,2014-10-01,NA,NA,NA,NA
IMPORT,Nov. 2014,17.445485567,2014-11-01,NA,NA,NA,NA
IMPORT,Dec. 2014,17.682969463,2014-12-01,NA,NA,NA,NA
IMPORT,Jan. 2015,18.762417029,2015-01-01,NA,NA,NA,NA
IMPORT,Feb. 2015,19.87005041,2015-02-01,NA,NA,NA,NA
IMPORT,Mar. 2015,22.555765199,2015-03-01,NA,NA,NA,NA
IMPORT,Apr. 2015,23.47709784,2015-04-01,NA,NA,NA,NA
IMPORT,May. 2015,20.882049103,2015-05-01,NA,NA,NA,NA
IMPORT,Jun. 2015,21.541906531,2015-06-01,NA,NA,NA,NA
IMPORT,Jul. 2015,20.366336918,2015-07-01,NA,NA,NA,NA
IMPORT,Aug. 2015,18.141009295,2015-08-01,NA,NA,NA,NA
IMPORT,Sep. 2015,20.961724527,2015-09-01,NA,NA,NA,NA
IMPORT,Oct. 2015,21.891678221,2015-10-01,NA,NA,NA,NA
IMPORT,Nov. 2015,20.879916902,2015-11-01,NA,NA,NA,NA
IMPORT,Dec. 2015,19.94583339,2015-12-01,NA,NA,NA,NA
IMPORT,Jan. 2016,18.821137373,2016-01-01,NA,NA,NA,NA
IMPORT,Feb. 2016,21.245357332,2016-02-01,NA,NA,NA,NA
IMPORT,Mar. 2016,23.263269184,2016-03-01,NA,NA,NA,NA
IMPORT,Apr. 2016,21.825387605,2016-04-01,NA,NA,NA,NA
IMPORT,May. 2016,20.223459811,2016-05-01,NA,NA,NA,NA
IMPORT,Jun. 2016,21.501161475,2016-06-01,NA,NA,NA,NA
IMPORT,Jul. 2016,18.976297179,2016-07-01,NA,NA,NA,NA
IMPORT,Aug. 2016,21.069670819,2016-08-01,NA,NA,NA,NA
IMPORT,Sep. 2016,20.386282058,2016-09-01,NA,NA,NA,NA
IMPORT,Oct. 2016,20.038181117,2016-10-01,NA,NA,NA,NA
IMPORT,Nov. 2016,21.478255386,2016-11-01,NA,NA,NA,NA
IMPORT,Dec. 2016,19.925895402,2016-12-01,NA,NA,NA,NA
IMPORT,Jan. 2017,20.59303903,2017-01-01,NA,NA,2021-01-01,TRUMP
IMPORT,Feb. 2017,21.158583638,2017-02-01,NA,NA,NA,NA
IMPORT,Mar. 2017,25.085944205,2017-03-01,NA,NA,NA,NA
IMPORT,Apr. 2017,21.247265464,2017-04-01,NA,NA,NA,NA
IMPORT,May. 2017,23.541487522,2017-05-01,NA,NA,NA,NA
IMPORT,Jun. 2017,22.58524972,2017-06-01,NA,NA,NA,NA
IMPORT,Jul. 2017,19.401950261,2017-07-01,NA,NA,NA,NA
IMPORT,Aug. 2017,21.042720538,2017-08-01,NA,NA,NA,NA
IMPORT,Sep. 2017,20.225465417,2017-09-01,NA,NA,NA,NA
IMPORT,Oct. 2017,21.469575866,2017-10-01,NA,NA,NA,NA
IMPORT,Nov. 2017,21.778648616,2017-11-01,NA,NA,NA,NA
IMPORT,Dec. 2017,19.279148637,2017-12-01,NA,NA,NA,NA
IMPORT,Jan. 2018,21.484955584,2018-01-01,NA,NA,NA,NA
IMPORT,Feb. 2018,19.297824965,2018-02-01,NA,NA,NA,NA
IMPORT,Mar. 2018,22.675710517,2018-03-01,NA,NA,NA,NA
IMPORT,Apr. 2018,21.800497527,2018-04-01,NA,NA,NA,NA
IMPORT,May. 2018,22.958148788,2018-05-01,US imposes steel and aluminium tariffs on the EU; EU responds with retaliatory countermeasures,10,NA,NA
IMPORT,Jun. 2018,23.33348906,2018-06-01,NA,NA,NA,NA
IMPORT,Jul. 2018,21.939195382,2018-07-01,NA,NA,NA,NA
IMPORT,Aug. 2018,22.363776074,2018-08-01,NA,NA,NA,NA
IMPORT,Sep. 2018,22.137532712,2018-09-01,NA,NA,NA,NA
IMPORT,Oct. 2018,24.738349716,2018-10-01,NA,NA,NA,NA
IMPORT,Nov. 2018,24.714954834,2018-11-01,NA,NA,NA,NA
IMPORT,Dec. 2018,22.653883576,2018-12-01,NA,NA,NA,NA
IMPORT,Jan. 2019,24.514071473,2019-01-01,NA,NA,NA,NA
IMPORT,Feb. 2019,24.385858139,2019-02-01,NA,NA,NA,NA
IMPORT,Mar. 2019,25.414222322,2019-03-01,NA,NA,NA,NA
IMPORT,Apr. 2019,24.213291578,2019-04-01,NA,NA,NA,NA
IMPORT,May. 2019,25.179939918,2019-05-01,NA,NA,NA,NA
IMPORT,Jun. 2019,23.771478453,2019-06-01,NA,NA,NA,NA
IMPORT,Jul. 2019,25.408119873,2019-07-01,NA,NA,NA,NA
IMPORT,Aug. 2019,23.231438787,2019-08-01,NA,NA,NA,NA
IMPORT,Sep. 2019,24.719135039,2019-09-01,NA,NA,NA,NA
IMPORT,Oct. 2019,28.250929909,2019-10-01,NA,NA,NA,NA
IMPORT,Nov. 2019,25.033543938,2019-11-01,NA,NA,NA,NA
IMPORT,Dec. 2019,23.037419889,2019-12-01,NA,NA,NA,NA
IMPORT,Jan. 2020,25.210178452,2020-01-01,NA,NA,NA,NA
IMPORT,Feb. 2020,19.035017612,2020-02-01,NA,NA,NA,NA
IMPORT,Mar. 2020,20.598916714,2020-03-01,NA,NA,NA,NA
IMPORT,Apr. 2020,16.967793168,2020-04-01,NA,NA,NA,NA
IMPORT,May. 2020,13.614031744,2020-05-01,NA,NA,NA,NA
IMPORT,Jun. 2020,14.802926341,2020-06-01,NA,NA,NA,NA
IMPORT,Jul. 2020,15.336646658,2020-07-01,NA,NA,NA,NA
IMPORT,Aug. 2020,14.845281916,2020-08-01,NA,NA,NA,NA
IMPORT,Sep. 2020,17.269787437,2020-09-01,NA,NA,NA,NA
IMPORT,Oct. 2020,16.568617783,2020-10-01,NA,NA,NA,NA
IMPORT,Nov. 2020,16.387564182,2020-11-01,EU imposes countermeasures against US subsidies of Boeing,45,NA,NA
IMPORT,Dec. 2020,15.865198478,2020-12-01,NA,NA,NA,NA
IMPORT,Jan. 2021,14.89234827,2021-01-01,NA,NA,2025-01-01,BIDEN
IMPORT,Feb. 2021,16.15850937,2021-02-01,NA,NA,NA,NA
IMPORT,Mar. 2021,20.656843907,2021-03-01,NA,NA,NA,NA
IMPORT,Apr. 2021,18.674181258,2021-04-01,NA,NA,NA,NA
IMPORT,May. 2021,18.809069298,2021-05-01,NA,NA,NA,NA
IMPORT,Jun. 2021,20.103581037,2021-06-01,EU suspend tariffs on Boeing,10,NA,NA
IMPORT,Jul. 2021,18.357312473,2021-07-01,NA,NA,NA,NA
IMPORT,Aug. 2021,19.049207798,2021-08-01,NA,NA,NA,NA
IMPORT,Sep. 2021,20.615323722,2021-09-01,NA,NA,NA,NA
IMPORT,Oct. 2021,20.560212676,2021-10-01,EU and US suspend tariffs on steel and aluminium,55,NA,NA
IMPORT,Nov. 2021,21.558322563,2021-11-01,NA,NA,NA,NA
IMPORT,Dec. 2021,23.142120702,2021-12-01,NA,NA,NA,NA
IMPORT,Jan. 2022,23.162010858,2022-01-01,NA,NA,NA,NA
IMPORT,Feb. 2022,24.269423119,2022-02-01,NA,NA,NA,NA
IMPORT,Mar. 2022,29.06635833,2022-03-01,NA,NA,NA,NA
IMPORT,Apr. 2022,28.773916268,2022-04-01,NA,NA,NA,NA
IMPORT,May. 2022,31.298410771,2022-05-01,NA,NA,NA,NA
IMPORT,Jun. 2022,31.650690236,2022-06-01,NA,NA,NA,NA
